id,nombre,tipo_fermentacion,descripcion
1,Lager,Lager,"Cerveza clara y refrescante de cuerpo ligero, fermentada a bajas temperaturas. El estilo más consumido mundialmente."
2,Pilsner,Lager,"Originaria de Bohemia (Rep. Checa), cerveza dorada con carácter refrescante, buen amargor balanceado y notas a lúpulo floral."
3,IPA (India Pale Ale),Ale,"Cerveza con intenso aroma a lúpulo (cítrico, floral, resinoso), amargor prominente y final seco. Muy popular en cerveza artesanal."
4,Porter,Ale,"Cerveza oscura londinense (s.XVIII) con sabor complejo, notas a chocolate, caramelo y frutos secos. Cuerpo medio."
5,Stout,Ale,"Cerveza negra muy oscura con sabor intenso a malta tostada, café y cacao. Textura cremosa, más fuerte que la Porter."
6,Pale Ale,Ale,"Cerveza ámbar-dorada con buen equilibrio entre malta y lúpulo, sabor limpio y carácter moderadamente lupulado."
7,Wheat Beer / Weissbier,Ale,"Cerveza de trigo alemana, turbia, con notas afrutadas (plátano, clavo), refrescante y espuma abundante."
8,Sour / Ácida,Espontánea,"Cerveza con acidez característica, puede incluir frutas. Fermentación con bacterias y levaduras salvajes."
9,Brown Ale,Ale,"Cerveza ámbar-marrón con sabores a chocolate, caramelo y frutos secos. Cuerpo medio con dulzor maltoso equilibrado."
10,Golden Ale,Ale,"Cerveza dorada clara, suave y refrescante con aroma cítrico de lúpulo. Equilibrada y de fácil consumo."
11,Imperial Stout,Ale,"Stout de alta graduación (+9% ABV) muy oscura e intensa, con sabores complejos a malta, chocolate y café."
12,Red Ale / Irish Red,Ale,"Cerveza rojiza-cobriza típicamente irlandesa con sabor a caramelo, refrescante y ligero amargor."
13,Session IPA,Ale,"IPA de menor graduación alcohólica (3-5% ABV) pero con todo el aroma y sabor a lúpulo característico del estilo."
14,Triple / Tripel,Ale,"Cerveza belga fuerte (7-10% ABV), dorada, con notas especiadas y afrutadas. Final seco y alta carbonatación."
15,Amber Lager,Lager,"Lager de color ámbar con sabor a malta tostada, equilibrada entre dulzor y amargor. Cuerpo medio."
